;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
-15;100;91;83;76;69;62;57;51;47;42;38;34;31;28;25;23;21;19;17;15;13;12;11;10;9;8;7;6;5;;;;;;;;;;;;
-16;100;91;83;75;68;62;56;51;46;42;38;34;31;28;25;23;20;18;16;15;13;12;11;9;8;8;7;6;5;;;;;;;;;;;;
-17;100;91;83;75;68;62;56;51;46;42;38;34;31;28;25;22;20;18;16;14;13;12;10;9;8;7;7;6;5;;;;;;;;;;;;
-18;100;91;83;75;68;62;56;51;46;41;37;34;30;27;25;22;20;18;16;14;13;11;10;9;8;7;6;6;5;;;;;;;;;;;;
-19;100;91;83;75;68;61;56;50;45;41;37;33;30;27;24;22;20;17;16;14;13;11;10;9;8;7;6;6;5;;;;;;;;;;;;
-20;100;91;82;75;68;61;55;50;45;41;37;33;30;27;24;21;19;17;15;14;12;11;10;9;8;7;6;5;;;;;;;;;;;;;
-21;100;91;82;74;67;61;55;50;45;40;36;33;29;26;24;21;19;17;15;14;12;11;10;9;8;7;6;5;;;;;;;;;;;;;
-22;100;91;82;74;67;61;55;49;45;40;36;32;29;26;23;21;19;17;15;13;12;11;9;8;7;7;6;5;;;;;;;;;;;;;
-23;100;91;82;74;67;60;54;49;44;40;36;32;29;26;23;21;18;16;15;13;12;10;9;8;7;6;6;5;;;;;;;;;;;;;
-24;100;91;82;74;67;60;54;49;44;39;35;31;28;25;23;20;18;16;14;13;11;10;9;8;7;6;6;5;;;;;;;;;;;;;
-25;100;90;82;74;67;60;54;49;44;39;35;31;28;25;23;20;18;16;14;13;11;10;9;8;7;6;5;;;;;;;;;;;;;;
-26;100;90;82;74;66;60;54;48;43;39;35;31;28;25;22;20;18;16;14;12;11;10;9;8;7;6;5;;;;;;;;;;;;;;
-27;100;90;81;73;66;59;53;48;43;39;34;31;28;25;22;20;17;15;14;12;11;10;8;7;7;6;5;;;;;;;;;;;;;;
-28;100;90;81;73;66;59;53;48;43;38;34;31;27;24;22;19;17;15;14;12;11;9;8;7;6;6;5;;;;;;;;;;;;;;
-29;100;90;81;73;66;59;53;47;42;38;34;30;27;24;21;19;17;15;13;12;10;9;8;7;6;6;5;;;;;;;;;;;;;;
-30;100;90;81;73;65;59;53;47;42;38;34;30;27;24;21;19;17;15;13;12;10;9;8;7;6;5;;;;;;;;;;;;;;;
-31;100;90;81;73;65;58;52;47;42;37;33;30;26;23;21;18;16;14;13;11;10;9;8;7;6;5;;;;;;;;;;;;;;;
-32;100;90;81;72;65;58;52;46;41;37;33;29;26;23;21;18;16;14;13;11;10;9;8;7;6;5;;;;;;;;;;;;;;;
-33;100;90;81;72;65;58;52;46;41;37;33;29;26;23;20;18;16;14;12;11;10;8;7;6;6;5;;;;;;;;;;;;;;;
-34;100;90;80;72;64;58;51;46;41;36;32;29;25;23;20;18;16;14;12;11;9;8;7;6;6;5;;;;;;;;;;;;;;;
-35;100;90;80;72;64;57;51;45;40;36;32;28;25;22;20;17;15;13;12;10;9;8;7;6;5;;;;;;;;;;;;;;;;
-36;100;90;80;72;64;57;51;45;40;36;32;28;25;22;19;17;15;13;12;10;9;8;7;6;5;;;;;;;;;;;;;;;;
-37;100;89;80;71;64;57;50;45;40;35;31;28;24;22;19;17;15;13;11;10;9;8;7;6;5;;;;;;;;;;;;;;;;
-38;100;89;80;71;63;56;50;45;39;35;31;27;24;21;19;17;15;13;11;10;9;8;7;6;5;;;;;;;;;;;;;;;;
-39;100;89;80;71;63;56;50;44;39;35;31;27;24;21;19;16;14;13;11;10;8;7;6;6;5;;;;;;;;;;;;;;;;
-40;100;89;79;71;63;56;50;44;39;34;30;27;24;21;18;16;14;12;11;9;8;7;6;5;;;;;;;;;;;;;;;;;
